ID     Combinação   Tipo   Letras    
----------------------------------------
0001   aba          VCV    aba
0002   abe          VCV    abe
0003   abi          VCV    abi
0004   abo          VCV    abo
0005   abu          VCV    abu
0006   aca          VCV    aca
0007   ace          VCV    ace
0008   aci          VCV    aci
0009   aco          VCV    aco
0010   act          VCC    act
0011   acu          VCV    acu
0012   ada          VCV    ada
0013   ade          VCV    ade
0014   adi          VCV    adi
0015   ado          VCV    ado
0016   adu          VCV    adu
0017   afa          VCV    afa
0018   afe          VCV    afe
0019   afi          VCV    afi
0020   afo          VCV    afo
0021   afu          VCV    afu
0022   aga          VCV    aga
0023   age          VCV    age
0024   agi          VCV    agi
0025   ago          VCV    ago
0026   agu          VCV    agu
0027   ala          VCV    ala
0028   ale          VCV    ale
0029   ali          VCV    ali
0030   alo          VCV    alo
0031   alt          VCC    alt
0032   alu          VCV    alu
0033   ama          VCV    ama
0034   ame          VCV    ame
0035   ami          VCV    ami
0036   amo          VCV    amo
0037   amp          VCC    amp
0038   amu          VCV    amu
0039   ana          VCV    ana
0040   and          VCC    and
0041   ane          VCV    ane
0042   ani          VCV    ani
0043   ano          VCV    ano
0044   ans          VCC    ans
0045   ant          VCC    ant
0046   anu          VCV    anu
0047   apa          VCV    apa
0048   ape          VCV    ape
0049   api          VCV    api
0050   apo          VCV    apo
0051   apt          VCC    apt
0052   apu          VCV    apu
0053   ara          VCV    ara
0054   are          VCV    are
0055   ari          VCV    ari
0056   aro          VCV    aro
0057   art          VCC    art
0058   aru          VCV    aru
0059   asa          VCV    asa
0060   ase          VCV    ase
0061   asi          VCV    asi
0062   aso          VCV    aso
0063   ast          VCC    ast
0064   asu          VCV    asu
0065   ata          VCV    ata
0066   ate          VCV    ate
0067   ati          VCV    ati
0068   ato          VCV    ato
0069   atu          VCV    atu
0070   ava          VCV    ava
0071   ave          VCV    ave
0072   avi          VCV    avi
0073   avo          VCV    avo
0074   avu          VCV    avu
0075   axa          VCV    axa
0076   axe          VCV    axe
0077   axi          VCV    axi
0078   axo          VCV    axo
0079   axu          VCV    axu
0080   aza          VCV    aza
0081   aze          VCV    aze
0082   azi          VCV    azi
0083   azo          VCV    azo
0084   azu          VCV    azu
0085   bab          CVC    bab
0086   bad          CVC    bad
0087   bal          CVC    bal
0088   bam          CVC    bam
0089   ban          CVC    ban
0090   bap          CVC    bap
0091   bar          CVC    bar
0092   bas          CVC    bas
0093   bat          CVC    bat
0094   bax          CVC    bax
0095   baz          CVC    baz
0096   beb          CVC    beb
0097   bed          CVC    bed
0098   bel          CVC    bel
0099   bem          CVC    bem
0100   ben          CVC    ben
0101   bep          CVC    bep
0102   ber          CVC    ber
0103   bes          CVC    bes
0104   bet          CVC    bet
0105   bex          CVC    bex
0106   bez          CVC    bez
0107   bib          CVC    bib
0108   bid          CVC    bid
0109   bil          CVC    bil
0110   bim          CVC    bim
0111   bin          CVC    bin
0112   bip          CVC    bip
0113   bir          CVC    bir
0114   bis          CVC    bis
0115   bit          CVC    bit
0116   bix          CVC    bix
0117   biz          CVC    biz
0118   bob          CVC    bob
0119   bod          CVC    bod
0120   bol          CVC    bol
0121   bom          CVC    bom
0122   bon          CVC    bon
0123   bop          CVC    bop
0124   bor          CVC    bor
0125   bos          CVC    bos
0126   bot          CVC    bot
0127   box          CVC    box
0128   boz          CVC    boz
0129   bub          CVC    bub
0130   bud          CVC    bud
0131   bul          CVC    bul
0132   bum          CVC    bum
0133   bun          CVC    bun
0134   bup          CVC    bup
0135   bur          CVC    bur
0136   bus          CVC    bus
0137   but          CVC    but
0138   bux          CVC    bux
0139   buz          CVC    buz
0140   cab          CVC    cab
0141   cad          CVC    cad
0142   cal          CVC    cal
0143   cam          CVC    cam
0144   can          CVC    can
0145   cap          CVC    cap
0146   car          CVC    car
0147   cas          CVC    cas
0148   cat          CVC    cat
0149   cax          CVC    cax
0150   caz          CVC    caz
0151   ceb          CVC    ceb
0152   ced          CVC    ced
0153   cel          CVC    cel
0154   cem          CVC    cem
0155   cen          CVC    cen
0156   cep          CVC    cep
0157   cer          CVC    cer
0158   ces          CVC    ces
0159   cet          CVC    cet
0160   cex          CVC    cex
0161   cez          CVC    cez
0162   cib          CVC    cib
0163   cid          CVC    cid
0164   cil          CVC    cil
0165   cim          CVC    cim
0166   cin          CVC    cin
0167   cip          CVC    cip
0168   cir          CVC    cir
0169   cis          CVC    cis
0170   cit          CVC    cit
0171   cix          CVC    cix
0172   ciz          CVC    ciz
0173   cob          CVC    cob
0174   cod          CVC    cod
0175   col          CVC    col
0176   com          CVC    com
0177   con          CVC    con
0178   cop          CVC    cop
0179   cor          CVC    cor
0180   cos          CVC    cos
0181   cot          CVC    cot
0182   cox          CVC    cox
0183   coz          CVC    coz
0184   cub          CVC    cub
0185   cud          CVC    cud
